Datum dobave,SIPXbase,SIPXeuro-peak,SIPX1,SIPX2,SIPX3,SIPX4,SIPX5,SIPX6,SIPX7,SIPX8,SIPX9,SIPX10,SIPX11,SIPX12,SIPX13,SIPX14,SIPX15,SIPX16,SIPX17,SIPX18,SIPX19,SIPX20,SIPX21,SIPX22,SIPX23,SIPX24,SIPX25
06/20/24,137.34,123.15,101.96,110,108.44,101.82,100.1,102.32,130.86,114,103.09,94.51,100.09,103.95,105,102.22,109.3,110.53,115.75,117.57,151.76,263.97,411.28,277.57,153.19,106.96,
06/19/24,112.51,97.78,109.81,107.53,104.17,100.1,99.6,102.5,111.95,113.98,105.64,88.07,74.74,83.9,89.19,40.14,23.4,108.45,110,111.85,135.24,202.76,244.23,194.51,130.33,108.23,
06/18/24,126.48,111.46,110.03,106.45,100.1,100,98.51,118.42,120.93,123.12,91.94,71.21,56.29,75.48,80,83.7,86.42,100,101.93,110.03,170.06,310.51,372.72,203.04,134.58,110.03,
06/17/24,130.08,121.94,80.88,72.43,62.46,62.28,62.54,99,115,134.65,99.29,85.27,102.23,106.87,96.3,83.78,79.25,111.97,113.82,114.17,180.95,289.33,334.85,309.2,210.22,115.14,
06/16/24,28.14,1.92,49.59,39.08,28.28,26.38,27.22,26.81,15.21,1.68,-0.01,-1.19,-10.41,-13.87,-20.7,-31.1,-37.14,-30.46,-7.27,15.76,63.32,96.07,116.83,121.34,112,88.05,
06/15/24,15.19,-15.25,55.77,39.07,28.98,29.49,19.44,8.25,1.54,0.09,0,-0.06,-10.08,-28.87,-44.68,-68.04,-83.2,-55.93,-18.8,13.69,30.04,82.93,115.51,115.51,81.76,52.1,
06/14/24,78.85,73.45,77.82,64.78,58.22,65.08,61.5,62.49,111.37,110.25,90.29,74.49,65.14,65.26,73.27,51.94,44.63,45.07,55.02,73.31,105.62,137.34,146.69,109.44,83.87,59.57,
06/13/24,114.9,111.24,94.71,92.78,90,73.29,84.26,91.18,109.77,123.06,132.72,89.07,94.18,87.52,78.6,76.05,86.06,90.49,100.33,101.66,166.77,231.43,254.26,197.09,109.66,102.54,
06/12/24,107.38,103.6,106.12,104.1,81.64,85.92,94.02,100,113.63,130.14,112.94,83.46,71.18,93.39,85.95,85.95,96.6,100,105,110.68,130.16,167.88,150.69,139.4,121.74,106.55,
06/11/24,115.22,115.76,90.85,80.7,75.16,83,83.05,87.07,105.13,116,110.19,105.57,76.32,86.6,86.89,83,95.9,99,119.09,142.24,176.73,207.61,203.23,201.35,142.06,108.54,
06/10/24,96.1,88.41,73.29,74.76,64.14,71.68,73.56,72.81,105.94,164.57,127.64,108,89.9,75.58,63.37,62.61,56.42,74.9,79,92.82,114.63,116,218.77,119.4,106.62,100,
06/09/24,54.62,8.44,107.66,104.59,101.25,95.1,92.9,93.28,80.12,35.82,4.62,0.03,-2.4,-14.35,-2.48,-14.35,-25.4,-27.49,1.02,11.52,67.74,102.87,170.67,119.4,110,98.69,
06/08/24,73.9,29.83,121,115,108.85,108.42,102.69,106.04,105.97,66.74,55.18,22.22,6.03,-1.87,3.43,3.42,-2.41,3.41,3.42,23.42,111.4,130.28,206.13,129.56,131.23,113.97,
06/07/24,95.89,70.17,102,94.66,88.7,82.81,78.64,94.26,107.2,114.7,100.73,79.2,61.8,41.39,33.91,25.36,24.55,80.15,72.65,70.73,113.61,137.97,253.48,181.88,155.98,105,
06/06/24,108.54,76.58,110,109.13,105,102.01,94.76,112.13,129.88,132.21,99.64,72.17,57.8,31.31,55.89,23.41,30.98,71.29,90.59,94.61,111.58,179.73,274.27,229.21,177.07,110.4,
06/05/24,110.98,103.87,86.78,78.21,75.3,73.08,76.81,97.1,111,157.04,123.82,102.15,75.93,72.95,65.05,42.89,39.66,96,100.9,101.98,173.72,251.4,172.89,226.46,148.04,114.46,
06/04/24,116.05,103.75,109.11,101.49,97.23,99.28,100.04,109.76,129.55,166.98,141.68,110.8,90.13,81.88,80.56,71.95,65.27,95,109.15,87.03,120,191.53,237.04,154.7,120,115,
06/03/24,128.55,127.11,90.19,92.97,92.47,90.32,87.9,103.82,128.19,193.06,162.96,128.08,112.38,104,89.31,90,97.1,106.48,117.8,142.06,180.96,194.18,213.93,196.23,149.87,121,
06/02/24,28.05,7.15,49.66,44.88,35.21,29.77,9.12,6.28,4.92,4.11,0.97,0,0.99,-0.3,-1.29,-6.25,-16.91,-17.73,-7.55,1.76,43.9,88.2,110.34,104.93,99.54,88.74,
06/01/24,61.81,44.91,82.7,79.51,69.78,77.78,62.61,63.09,67.25,65.43,78,65.99,51.22,45.31,23.02,8.1,2.62,5.15,14.18,57.9,84.03,103.43,109.21,100.73,85.51,80.81,
05/31/24,93.09,92.05,89.65,82.34,70.25,79.06,81.42,80.1,97.03,117.42,117.19,105.91,93.52,87.22,80.76,74.12,70.21,71.12,79.16,92.91,109.28,123.22,130.5,109.15,98.47,94.18,
05/30/24,95.28,89.44,94.36,87.79,83.51,84.62,84.38,89.91,93.4,104.33,96.86,93.6,84.43,81.42,75.61,67.41,67.3,72.37,89.54,100.28,112.04,132.36,143.09,132.65,111.46,104,
05/29/24,87.99,82.38,78.9,71.28,65.2,69.24,69.47,67.53,95.4,97.77,94.96,71.81,70.66,65.09,61.25,65.01,65.01,73.69,80.87,86.85,108.32,145,158,140.96,113.36,96.04,
05/28/24,98.19,89.07,102.2,90.53,90.93,84.9,84.34,91.67,118.08,128.2,107.51,89.77,76.36,75.17,66.46,60.1,60.09,71.43,86.46,112.36,118.07,145,156.64,137,105.75,97.48,
05/27/24,99.75,91.59,77.77,78.26,77.74,77.75,81.72,88.05,105.76,120.99,110.52,78.16,73.77,70.95,68.14,70.02,67.5,80.94,91.28,99.44,120.9,167.43,198.59,162.06,122,104.14,
05/26/24,56.42,17.57,107.11,98.47,91.11,90.8,91.82,89.22,84.03,72.23,13.25,0.02,0,-0.07,-1.73,-8.7,-19.49,-8.04,-0.48,48.18,80.38,107.5,116.07,113.39,101.44,87.5,
05/25/24,70.37,40.05,94.88,91.92,90.47,89.16,89.04,89.87,89.75,86.5,76.07,55.49,30.57,9.14,3.24,0.04,0,0.02,14.39,77.31,97.43,116.85,130.9,135.84,115.58,104.35,
